origin,destination,time
166,9,438
9,79,542
79,83,518
83,104,721
104,184,376
184,129,380
129,49,485
49,183,469
183,112,983
145,90,552
90,62,433
62,11,814
11,100,282
100,80,441
80,16,324
16,146,428
146,147,19
147,51,515
51,155,477
155,52,198
52,177,71
177,8,62
8,149,255
149,54,338
54,35,129
35,55,611
55,179,342
179,154,268
154,103,413
103,170,263
170,124,441
124,109,186
109,7,75
7,93,148
93,61,258
61,175,350
175,101,518
101,47,329
47,60,242
86,59,215
59,166,811
83,58,745
58,104,590
104,18,414
18,64,1018
64,104,617
129,142,531
142,178,226
178,49,158
49,84,805
84,185,473
185,162,392
162,183,459
89,74,383
74,75,321
75,14,438
14,182,189
182,21,513
21,137,231
137,38,252
123,73,602
73,107,276
107,136,462
136,99,311
99,33,434
33,13,470
13,174,1010
174,122,600
122,186,632
186,78,156
78,32,807
32,57,843
57,48,938
48,45,678
45,46,303
46,110,156
110,36,464
36,111,929
111,144,823
144,72,975
72,37,349
37,137,644
137,116,291
116,120,93
53,102,488
102,126,492
126,143,676
143,187,565
187,12,289
12,33,432
33,2,562
2,76,301
76,71,59
71,79,429
79,0,111
0,153,736
153,10,445
10,137,590
137,77,502
157,28,790
28,119,500
119,42,1136
42,188,725
188,152,674
152,132,816
92,108,585
108,161,241
161,30,777
30,65,852
65,66,0
66,67,0
67,197,939
197,29,118
29,17,271
17,173,613
173,160,715
160,180,419
180,1,383
1,121,662
121,44,615
44,43,313
43,70,586
70,56,545
56,20,124
20,31,155
31,15,901
15,19,366
19,6,939
6,65,727
65,63,471
63,167,1066
167,105,1261
105,50,340
105,63,694
63,65,259
197,34,197
34,196,133
196,125,741
125,83,728
83,91,741
91,5,617
5,65,491
65,167,1019
97,156,882
156,116,87
116,148,295
148,3,276
3,197,492
197,120,610
120,95,732
95,172,536
172,127,610
127,163,1390
163,81,1055
81,87,571
87,195,505
195,198,710
198,21,868
21,159,183
3,120,234
159,97,708
156,148,362
148,116,271
116,197,527
116,3,145
